decision,gpa,gre_verbal,gre_quant,gre_writing
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
Other,,,,
